,time,open,high,low,close,volume,ticker,action,action_converted,confidence,shares_held,ep_net
537,3/1/2022,39.98,40.24,39.46,39.98,8804700,SSI,-0.7027814388275146,SELL_50,0.371341347694397,125,1117438.1468100043
538,3/2/2022,39.63,39.85,38.72,38.94,12606700,SSI,-0.7602430582046509,SELL_50,0.37887659668922424,63,1117474.162530004
539,3/3/2022,39.11,39.55,38.68,39.55,8443700,SSI,-0.9834039211273193,SELL_50,0.39702585339546204,32,1117503.3364800042
540,3/4/2022,39.98,41.2,39.94,40.5,20515200,SSI,-0.6718194484710693,SELL_50,0.36682140827178955,16,1117505.568480004
541,3/7/2022,40.07,40.72,39.76,40.68,11608800,SSI,-1.6228305101394653,SELL_50,0.3445817828178406,8,1117506.6030400041
542,3/8/2022,40.42,41.89,40.07,40.85,24333500,SSI,-1.9510388374328613,SELL_50,0.2733699381351471,4,1117505.039640004
543,3/9/2022,41.11,41.29,39.89,40.5,12310400,SSI,-2.2178945541381836,SELL_50,0.20918063819408417,2,1117504.958640004
544,3/10/2022,41.55,41.55,40.5,40.5,8503400,SSI,-0.20384764671325684,SELL_20,0.271406888961792,1,1117503.5281400043
545,3/11/2022,40.16,40.42,38.85,39.11,16762700,SSI,-0.48946613073349,SELL_30,0.3347967267036438,1,1117501.9681400042
546,3/14/2022,38.76,38.94,37.29,37.55,16641300,SSI,-0.19882363080978394,SELL_20,0.27020949125289917,1,1117502.048140004
547,3/15/2022,37.42,38.33,37.37,37.63,7812500,SSI,-0.31605714559555054,SELL_30,0.29761865735054016,1,1117502.4881400042
548,3/16/2022,37.81,38.63,37.72,38.07,7098600,SSI,-1.532699704170227,SELL_50,0.3603433072566986,1,1117502.4881400042
549,3/17/2022,38.63,38.63,38.07,38.07,4717000,SSI,-1.245678424835205,SELL_50,0.39360612630844116,1,1117502.4881400042
550,3/18/2022,38.2,38.68,37.98,38.07,7818900,SSI,-0.8272868990898132,SELL_50,0.38625088334083557,1,1117502.9181400042
551,3/21/2022,38.5,38.63,38.07,38.5,6957300,SSI,-1.378110647201538,SELL_50,0.3817814588546753,1,1117502.9681400042
552,3/22/2022,38.5,38.94,38.42,38.55,6005800,SSI,0.33151185512542725,BUY_30,0.14699786901474,14494,1115060.0429900042
553,3/23/2022,38.68,38.85,38.42,38.42,6329400,SSI,-1.3988893032073975,SELL_50,0.37761250138282776,7247,1112245.1632500044
554,3/24/2022,38.63,38.63,38.03,38.07,7095000,SSI,-1.364249587059021,SELL_50,0.38280972838401794,3624,1111020.0356400043
555,3/25/2022,38.03,38.2,37.63,37.77,7927800,SSI,-2.1112489700317383,SELL_50,0.23431137204170227,1812,1109048.9964000043
556,3/28/2022,37.29,37.59,36.33,36.72,10391600,SSI,0.3283991813659668,BUY_30,0.14783789217472076,16007,1114130.2060000044
557,3/29/2022,37.29,37.29,37.03,37.07,4100800,SSI,-1.9467382431030273,SELL_50,0.2703756093978882,8004,1111432.3347900044
558,3/30/2022,36.59,37.55,36.55,36.77,6997900,SSI,-1.3726829290390015,SELL_50,0.38180026412010193,4002,1110204.6412500045
559,3/31/2022,37.2,37.2,36.5,36.5,4239600,SSI,-0.6042392253875732,SELL_50,0.35636311769485474,2001,1111712.3947500044
560,4/1/2022,36.5,37.29,35.98,37.29,7804400,SSI,-2.1493470668792725,SELL_50,0.2253476083278656,1001,1113496.9247500047
561,4/4/2022,37.81,39.16,37.46,39.11,14810300,SSI,-1.3774900436401367,SELL_50,0.3817956745624542,501,1113171.7597500046
562,4/5/2022,38.94,39.46,38.46,38.5,7217300,SSI,0.13324153423309326,BUY_20,0.19080069661140442,14707,1116448.6487500046
563,4/6/2022,37.98,39.03,37.98,38.76,8151700,SSI,-1.9231679439544678,SELL_50,0.2764904499053955,7354,1112707.2664700046
564,4/7/2022,38.76,39.42,38.29,38.29,9640400,SSI,-1.928313970565796,SELL_50,0.27763235569000244,3677,1109183.6341400046
565,4/8/2022,38.24,38.46,37.37,37.37,7310200,SSI,-0.837524950504303,SELL_50,0.3874274790287018,1839,1107202.3880800046
566,4/12/2022,37.46,37.72,36.16,36.33,7028900,SSI,-0.16462308168411255,SELL_20,0.2622464895248413,920,1107767.0008100048
567,4/13/2022,36.5,37.16,35.55,36.98,8424200,SSI,-1.2612860202789307,SELL_50,0.3925192654132843,460,1107529.1900100047
568,4/14/2022,37.33,37.33,36.42,36.5,4295500,SSI,0.11114299297332764,BUY_20,0.19593903422355652,15401,1080340.1135100047
569,4/15/2022,36.33,36.59,34.64,34.77,9691100,SSI,0.1627657413482666,BUY_20,0.1875002533197403,23236,1029413.2105600048
570,4/18/2022,34.16,34.77,32.33,32.59,16501500,SSI,-2.3490891456604004,SELL_50,0.16606514155864716,11618,1003823.5199400047
571,4/19/2022,32.68,33.38,30.42,30.42,12058200,SSI,-0.5478699207305908,SELL_50,0.34776249527931213,5809,1004634.3401600048
572,4/20/2022,30.38,31.29,30.16,30.59,10151300,SSI,0.8964799642562866,BUY_50,0.05682162195444107,19325,1018521.3857200048
573,4/21/2022,30.07,31.99,29.99,31.33,12545000,SSI,0.8581044673919678,BUY_50,0.0640123263001442,25917,1018314.8583600048
574,4/22/2022,31.72,31.85,30.42,31.33,7077100,SSI,-1.4134654998779297,SELL_50,0.35776472091674805,12959,989787.8542200048
575,4/25/2022,31.29,31.51,29.16,29.16,11146000,SSI,-0.8094227313995361,SELL_50,0.38562050461769104,6480,994977.3265800048
576,4/26/2022,28.25,29.99,27.25,29.99,12730000,SSI,-0.4978160262107849,SELL_30,0.3372950851917267,3240,994588.5589800049
577,4/27/2022,29.77,30.07,29.29,29.9,5114300,SSI,1.3353384733200073,BUY_50,0.021601296961307526,18251,979903.950080005
578,4/28/2022,29.81,30.12,28.94,29.12,6207900,SSI,-1.3729268312454224,SELL_50,0.3797586262226105,9126,980003.2700800048
